Revenue,,,,Gross Sales:,,,,TAX A (VAT 16%),,TAX_B(10%SERVICE CHARGE1),,,,,TAX C (2% CAT LEVY),,,,,TAX_D(5.5%SERVICE CHARGE2),,,,,,ZERO RATED (TAX E) ,,Net Sales:
ACCOM,,,,"27,512,145.60",,,,"3,439,018.20",,"2,149,386.38",,,,,"429,877.28",,,,,0,,,,,,0,,"21,493,863.75"
AIRPORT TRANSFERS,,,,"305,800.00",,,,"41,464.41",,0,,,,,"5,183.05",,,,,0,,,,,,0,,"259,152.54"
BEVE,,,,"7,974,618.85",,,,"1,033,149.00",,0,,,,,"129,143.63",,,,,"355,144.97",,,,,,0,,"6,457,181.25"
CONFERENCE,,,,"5,354,849.71",,,,"669,356.21",,"418,347.63",,,,,"83,669.53",,,,,0,,,,,,0,,"4,183,476.33"
EXCURSION,,,,"139,400.00",,,,"18,901.69",,0,,,,,"2,362.71",,,,,0,,,,,,0,,"118,135.59"
FACILITY HIRE,,,,"94,965.00",,,,"12,876.61",,0,,,,,"1,609.58",,,,,0,,,,,,0,,"80,478.81"
FOOD,,,,"15,639,819.26",,,,"1,954,977.41",,"1,221,860.88",,,,,"244,372.18",,,,,0,,,,,,0,,"12,218,608.80"
FOOD ON ACCOMODATION,,,,"8,764,500.00",,,,"1,095,562.50",,"684,726.56",,,,,"136,945.31",,,,,0,,,,,,0,,"6,847,265.63"
GYM-ANNUALLY,,,,"93,390.00",,,,"12,663.05",,0,,,,,"1,582.88",,,,,0,,,,,,0,,"79,144.07"
GYM-DAILY,,,,"47,300.00",,,,"6,413.56",,0,,,,,801.69,,,,,0,,,,,,0,,"40,084.75"
GYM-MONTHLY,,,,"115,800.00",,,,"15,701.69",,0,,,,,"1,962.71",,,,,0,,,,,,0,,"98,135.59"
LAUNDRY AND DRY CLEANING,,,,"159,105.00",,,,"21,573.56",,0,,,,,"2,696.69",,,,,0,,,,,,0,,"134,834.75"
MISCELLANEOUS,,,,"42,418.00",,,,0,,0,,,,,0,,,,,0,,,,,,0,,"42,418.00"
NO SHOW,,,,"12,250.00",,,,"1,531.25",,957.03,,,,,191.41,,,,,0,,,,,,0,,"9,570.31"
PRINTING & PHOTOCOPYING,,,,"53,550.00",,,,"7,261.02",,0,,,,,907.63,,,,,0,,,,,,0,,"45,381.36"
ROOM SERVICE,,,,"121,000.00",,,,"16,406.78",,0,,,,,"2,050.85",,,,,0,,,,,,0,,"102,542.37"
SWIMMING -MONTHLY,,,,"16,000.00",,,,"2,169.49",,0,,,,,271.19,,,,,0,,,,,,0,,"13,559.32"
SWIMMING-DAILY,,,,"695,890.85",,,,"94,358.08",,0,,,,,"11,794.76",,,,,0,,,,,,0,,"589,738.01"
TRANSPORTATION,,,,"51,850.00",,,,"7,030.51",,0,,,,,878.81,,,,,0,,,,,,0,,"43,940.68"
Total,,,,67194952.27,,,,8450415.03,,4475278.48,,,,,"1,056,301.88",,,,,355144.97,,,,,,0,,52857811.91
,,,,,,,,,,,,,Sales Total:,,,,,,,,,"67,194,952.27",,,,,,
,,,,,,,,,,,,,Payment Total:,,,,,,,,,"63,017,937.11",,,,,,
,Expenses,,,,,,,,,,,,Variance:,,,,,,,,,"4,177,015.15",,,,,,
,Department Name:,,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,ADMIN & GENERAL OFFICE,,,,"649,148.00",,,,,,,,,,,,,,,,,,,,,,,
,CONFERENCE,,,,"285,679.85",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DISPENSE BAR,,,,"1,227,273.10",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DUMA BAR,,,,"1,542,208.52",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EKWENA RESTAURANT,,,,"459,255.16",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FRONT OFFICE,,,,"507,365.39",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HOUSEKEEPING/LAUNDRY,,,,"1,279,972.72",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KITCHEN,,,,"3,347,348.40",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ma,,,,"22,380.00",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAIN STORE,,,,"6,228.00",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,REPAIRS & MAINTENANCE,,,,"176,920.86",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SECURITY,,,,"123,221.00",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Issue Total:,,,,9627001.01,,,,,,,,,,,,,,,,,,,,,,,
